Donor Type,Donor Age,Donor State of Residence,All Donors - All Genders,All Donors - Male,All Donors - Female,All Donors - Unknown,Kidney - All Genders,Kidney - Male,Kidney - Female,Kidney - Unknown,Liver - All Genders,Liver - Male,Liver - Female,Liver - Unknown,Heart - All Genders,Heart - Male,Heart - Female,Heart - Unknown,Pancreas - All Genders,Pancreas - Male,Pancreas - Female,Pancreas - Unknown,Lung - All Genders,Lung - Male,Lung - Female,Lung - Unknown,Intestine - All Genders,Intestine - Male,Intestine - Female,Intestine - Unknown
,,Michigan,3514,1602,1912,0,3337,1497,1840,0,1372,709,663,0,224,118,106,0,90,46,44,0,260,106,154,0,2,2,0,0
,,Minnesota,2006,893,1113,0,1935,856,1079,0,687,362,325,0,142,73,69,0,169,81,88,0,102,49,53,0,9,4,5,0
,,Mississippi,658,289,369,0,613,263,350,0,377,185,192,0,41,18,23,0,10,4,6,0,38,14,24,0,0,0,0,0
,,Missouri,1796,845,951,0,1635,754,881,0,1044,527,517,0,106,49,57,0,65,25,40,0,173,83,90,0,1,0,1,0
,,Montana,279,102,177,0,274,100,174,0,102,40,62,0,20,6,14,0,8,4,4,0,14,4,10,0,0,0,0,0
,,Nebraska,589,260,329,0,563,247,316,0,250,120,130,0,28,14,14,0,35,16,19,0,35,17,18,0,0,0,0,0
,,Nevada,741,348,393,0,683,314,369,0,419,212,207,0,58,33,25,0,9,3,6,0,49,18,31,0,0,0,0,0
,,New Hampshire,480,205,275,0,455,195,260,0,162,76,86,0,29,11,18,0,12,5,7,0,28,6,22,0,0,0,0,0
,,New Jersey,2994,1255,1739,0,2834,1158,1676,0,1204,604,600,0,169,79,90,0,83,37,46,0,131,61,70,0,0,0,0,0
,,New Mexico,482,220,262,0,455,204,251,0,205,92,113,0,27,10,17,0,8,1,7,0,15,6,9,0,1,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New York,5651,2611,3040,0,5183,2317,2866,0,2355,1262,1093,0,307,174,133,0,104,42,62,0,189,81,108,0,1,0,1,0
,,North Carolina,2285,1054,1231,0,2147,966,1181,0,1060,511,549,0,237,111,126,0,57,24,33,0,223,98,125,0,1,0,1,0
,,North Dakota,224,93,131,0,214,90,124,0,82,42,40,0,11,7,4,0,16,6,10,0,12,5,7,0,1,0,1,0
,,Ohio,3670,1638,2032,0,3464,1514,1950,0,1682,851,831,0,222,106,116,0,145,63,82,0,251,96,155,0,2,1,1,0
,,Oklahoma,968,467,501,0,917,443,474,0,480,232,248,0,65,39,26,0,12,7,5,0,44,18,26,0,0,0,0,0
,,Oregon,918,402,516,0,895,389,506,0,377,181,196,0,64,32,32,0,23,12,11,0,34,13,21,0,1,0,1,0
,,Pennsylvania,5027,2489,2538,0,4675,2276,2399,0,2706,1453,1253,0,458,257,201,0,231,104,127,0,394,196,198,0,3,3,0,0
,,Puerto Rico,724,356,368,0,631,295,336,0,447,234,213,0,3,2,1,0,1,0,1,0,44,27,17,0,0,0,0,0
,,Rhode Island,310,127,183,0,299,121,178,0,90,43,47,0,24,11,13,0,9,4,5,0,13,7,6,0,0,0,0,0
,,South Carolina,1201,578,623,0,1133,541,592,0,743,374,369,0,101,50,51,0,14,8,6,0,116,50,66,0,0,0,0,0
,,South Dakota,261,111,150,0,256,108,148,0,95,48,47,0,13,4,9,0,21,12,9,0,15,5,10,0,1,0,1,0
,,State unassigned,1409,605,804,0,1347,566,781,0,446,220,226,0,78,37,41,0,39,15,24,0,63,31,32,0,1,1,0,0
,,Tennessee,1667,742,925,0,1533,652,881,0,923,438,485,0,125,55,70,0,44,21,23,0,133,54,79,0,1,1,0,0
,,Texas,5834,2669,3165,0,5357,2373,2984,0,2808,1449,1359,0,304,171,133,0,61,24,37,0,433,203,230,0,0,0,0,0
,,Utah,606,282,324,0,568,267,301,0,217,111,106,0,46,23,23,0,8,4,4,0,21,14,7,0,0,0,0,0
,,Vermont,182,88,94,0,173,83,90,0,59,36,23,0,14,8,6,0,2,1,1,0,10,5,5,0,0,0,0,0
,,Virginia,2353,1082,1271,0,2241,1012,1229,0,961,520,441,0,147,76,71,0,39,17,22,0,161,78,83,0,1,0,1,0
,,Washington,1568,698,870,0,1530,673,857,0,579,307,272,0,106,51,55,0,35,16,19,0,95,36,59,0,1,0,1,0
,,West Virginia,541,233,308,0,505,214,291,0,310,143,167,0,28,11,17,0,35,15,20,0,39,16,23,0,2,0,2,0
,,Wisconsin,2329,1142,1187,0,2221,1081,1140,0,1012,563,449,0,161,102,59,0,159,77,82,0,146,73,73,0,1,0,1,0
,,Wyoming,149,63,86,0,142,59,83,0,74,34,40,0,12,7,5,0,9,4,5,0,12,4,8,0,0,0,0,0
,65 +,All Donor States of Residence,18954,8749,10205,0,14897,6627,8270,0,13647,6512,7135,0,126,49,77,0,106,47,59,0,461,187,274,0,6,2,4,0
,,Alabama,252,134,118,0,214,106,108,0,181,99,82,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0
,,Alaska,21,10,11,0,18,8,10,0,13,6,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Arizona,280,118,162,0,246,99,147,0,187,86,101,0,0,0,0,0,1,0,1,0,3,1,2,0,0,0,0,0
,,Arkansas,104,44,60,0,82,35,47,0,87,39,48,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0
,,California,1669,757,912,0,1476,646,830,0,1055,493,562,0,20,7,13,0,14,5,9,0,67,25,42,0,0,0,0,0
,,Colorado,164,72,92,0,141,59,82,0,102,45,57,0,3,0,3,0,4,0,4,0,5,2,3,0,0,0,0,0
,,Connecticut,187,73,114,0,165,61,104,0,110,45,65,0,6,1,5,0,0,0,0,0,7,4,3,0,0,0,0,0
,,Delaware,125,59,66,0,101,45,56,0,100,47,53,0,1,1,0,0,1,0,1,0,5,3,2,0,0,0,0,0
,,District of Columbia,55,26,29,0,43,19,24,0,41,18,23,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0
,,Florida,1407,629,778,0,971,426,545,0,1071,497,574,0,3,1,2,0,3,2,1,0,21,8,13,0,1,0,1,0
,,Georgia,520,223,297,0,352,134,218,0,417,178,239,0,0,0,0,0,0,0,0,0,11,2,9,0,0,0,0,0
,,Hawaii,39,11,28,0,39,11,28,0,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,28,14,14,0,25,12,13,0,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Illinois,897,446,451,0,654,311,343,0,649,335,314,0,13,7,6,0,14,7,7,0,30,14,16,0,3,2,1,0
,,Indiana,239,113,126,0,205,93,112,0,182,88,94,0,0,0,0,0,1,0,1,0,10,5,5,0,0,0,0,0
,,Iowa,143,81,62,0,128,73,55,0,89,48,41,0,2,1,1,0,2,1,1,0,3,1,2,0,0,0,0,0
,,Kansas,184,88,96,0,126,58,68,0,160,74,86,0,0,0,0,0,1,1,0,0,6,1,5,0,0,0,0,0
,,Kentucky,121,57,64,0,106,50,56,0,86,42,44,0,2,0,2,0,3,2,1,0,2,1,1,0,0,0,0,0
,,Louisiana,184,87,97,0,124,53,71,0,151,72,79,0,0,0,0,0,2,1,1,0,5,2,3,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Maine,95,50,45,0,86,44,42,0,51,26,25,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
,,Maryland,537,249,288,0,466,204,262,0,356,184,172,0,0,0,0,0,1,0,1,0,16,11,5,0,0,0,0,0
,,Massachusetts,409,201,208,0,362,172,190,0,263,135,128,0,1,0,1,0,1,1,0,0,13,7,6,0,0,0,0,0
,,Michigan,549,247,302,0,459,198,261,0,344,154,190,0,3,2,1,0,1,1,0,0,34,8,26,0,0,0,0,0
,,Minnesota,386,163,223,0,325,131,194,0,242,109,133,0,4,1,3,0,7,2,5,0,5,4,1,0,0,0,0,0
,,Mississippi,139,69,70,0,108,51,57,0,106,57,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Missouri,460,229,231,0,293,138,155,0,393,201,192,0,1,1,0,0,5,4,1,0,15,7,8,0,0,0,0,0
,,Montana,31,11,20,0,26,8,18,0,16,7,9,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0
,,Nebraska,83,37,46,0,69,29,40,0,64,24,40,0,1,1,0,0,1,1,0,0,2,0,2,0,0,0,0,0
,,Nevada,162,76,86,0,132,58,74,0,132,65,67,0,1,1,0,0,1,1,0,0,8,4,4,0,0,0,0,0
,,New Hampshire,80,41,39,0,72,36,36,0,44,26,18,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
,,New Jersey,633,283,350,0,559,245,314,0,423,207,216,0,3,0,3,0,2,0,2,0,7,4,3,0,0,0,0,0
,,New Mexico,91,39,52,0,77,32,45,0,62,28,34,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0
,,New York,1748,777,971,0,1109,478,631,0,1362,624,738,0,4,1,3,0,6,4,2,0,16,6,10,0,0,0,0,0
,,North Carolina,477,212,265,0,384,161,223,0,330,161,169,0,7,4,3,0,3,1,2,0,24,10,14,0,0,0,0,0
,,North Dakota,44,21,23,0,35,14,21,0,28,15,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Ohio,627,314,313,0,538,264,274,0,433,218,215,0,10,2,8,0,1,0,1,0,21,5,16,0,0,0,0,0
,,Oklahoma,170,81,89,0,142,64,78,0,124,59,65,0,1,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0
,,Oregon,122,41,81,0,119,39,80,0,67,22,45,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0
,,Pennsylvania,1611,786,825,0,1327,622,705,0,1289,644,645,0,12,6,6,0,11,5,6,0,32,14,18,0,0,0,0,0
,,Puerto Rico,241,118,123,0,155,69,86,0,202,100,102,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
,,Rhode Island,44,25,19,0,38,22,16,0,27,17,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,South Carolina,294,131,163,0,244,101,143,0,244,108,136,0,3,2,1,0,1,0,1,0,10,6,4,0,0,0,0,0
,,South Dakota,55,24,31,0,49,21,28,0,42,18,24,0,1,0,1,0,3,1,2,0,3,1,2,0,1,0,1,0
,,State unassigned,261,109,152,0,227,98,129,0,147,66,81,0,2,1,1,0,1,1,0,0,6,3,3,0,0,0,0,0
,,Tennessee,368,161,207,0,304,133,171,0,298,134,164,0,3,1,2,0,1,0,1,0,2,0,2,0,0,0,0,0
,,Texas,1181,533,648,0,739,319,420,0,880,417,463,0,7,4,3,0,2,1,1,0,16,7,9,0,0,0,0,0
,,Utah,65,39,26,0,55,32,23,0,48,31,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Vermont,42,21,21,0,38,19,19,0,34,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Virginia,479,213,266,0,417,183,234,0,335,143,192,0,4,2,2,0,1,1,0,0,11,4,7,0,1,0,1,0
,,Washington,220,96,124,0,199,84,115,0,120,55,65,0,0,0,0,0,1,0,1,0,3,1,2,0,0,0,0,0
,,West Virginia,151,68,83,0,122,55,67,0,120,52,68,0,0,0,0,0,1,0,1,0,3,2,1,0,0,0,0,0
,,Wisconsin,457,229,228,0,385,193,192,0,300,152,148,0,6,0,6,0,2,1,1,0,9,6,3,0,0,0,0,0
,,Wyoming,23,13,10,0,21,11,10,0,17,12,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,Unknown,All Donor States of Residence,25,13,11,1,11,6,4,1,14,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Alabama,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,California,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Maryland,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Missouri,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New York,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,North Carolina,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,State unassigned,12,6,5,1,9,4,4,1,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Texas,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Virginia,4,3,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor,All Ages,All Donor States of Residence,222013,132737,89276,0,203365,121685,81680,0,179950,107646,72304,0,78066,53391,24675,0,46502,30885,15617,0,39371,23760,15611,0,3386,1988,1398,0
,,Alabama,3750,2264,1486,0,3452,2079,1373,0,3091,1867,1224,0,1191,853,338,0,602,433,169,0,569,377,192,0,36,22,14,0
,,Alaska,622,395,227,0,604,381,223,0,490,317,173,0,209,165,44,0,150,121,29,0,128,85,43,0,1,1,0,0
,,Arizona,3771,2350,1421,0,3593,2245,1348,0,3106,1953,1153,0,1339,954,385,0,687,474,213,0,729,465,264,0,45,34,11,0
,,Arkansas,2056,1212,844,0,1905,1122,783,0,1741,1023,718,0,811,565,246,0,418,278,140,0,366,193,173,0,56,33,23,0
,,California,22206,13747,8459,0,20749,12847,7902,0,18029,11199,6830,0,8556,6005,2551,0,4221,2908,1313,0,4350,2703,1647,0,156,86,70,0
,,Colorado,2937,1739,1198,0,2753,1628,1125,0,2404,1439,965,0,1210,827,383,0,756,476,280,0,489,287,202,0,41,22,19,0
,,Connecticut,1966,1223,743,0,1846,1146,700,0,1546,949,597,0,725,511,214,0,353,241,112,0,271,185,86,0,21,13,8,0
,,Delaware,1027,614,413,0,940,559,381,0,831,491,340,0,328,222,106,0,203,138,65,0,199,126,73,0,13,10,3,0
,,District of Columbia,560,343,217,0,502,304,198,0,455,284,171,0,185,138,47,0,156,116,40,0,111,67,44,0,8,6,2,0
,,Florida,14567,8660,5907,0,13009,7769,5240,0,11843,7085,4758,0,4587,3128,1459,0,2680,1804,876,0,2389,1387,1002,0,388,233,155,0
,,Georgia,6486,3706,2780,0,5610,3173,2437,0,5469,3152,2317,0,2366,1600,766,0,979,691,288,0,1168,681,487,0,117,65,52,0
,,Hawaii,791,515,276,0,762,499,263,0,576,375,201,0,69,56,13,0,109,84,25,0,32,15,17,0,1,1,0,0
,,Idaho,930,577,353,0,883,546,337,0,753,471,282,0,372,257,115,0,201,138,63,0,148,99,49,0,15,6,9,0
,,Illinois,9630,5875,3755,0,8705,5330,3375,0,7468,4527,2941,0,3052,2090,962,0,2651,1714,937,0,1846,1140,706,0,139,88,51,0
,,Indiana,4736,2810,1926,0,4386,2601,1785,0,4062,2405,1657,0,1950,1341,609,0,1217,796,421,0,1002,595,407,0,201,122,79,0
,,Iowa,1949,1158,791,0,1847,1100,747,0,1623,956,667,0,719,466,253,0,559,354,205,0,348,189,159,0,38,16,22,0
,,Kansas,2568,1580,988,0,2378,1472,906,0,2111,1285,826,0,937,650,287,0,658,431,227,0,496,308,188,0,51,30,21,0
,,Kentucky,2927,1789,1138,0,2734,1656,1078,0,2446,1499,947,0,1091,753,338,0,699,457,242,0,541,336,205,0,47,23,24,0
,,Louisiana,4044,2461,1583,0,3573,2195,1378,0,3613,2207,1406,0,1498,1070,428,0,984,680,304,0,820,513,307,0,75,46,29,0
,,Maine,934,578,356,0,888,551,337,0,718,443,275,0,336,233,103,0,207,132,75,0,126,80,46,0,17,8,9,0
,,Maryland,4570,2684,1886,0,4184,2456,1728,0,3787,2238,1549,0,1436,966,470,0,1161,774,387,0,1004,611,393,0,54,29,25,0
,,Massachusetts,3717,2252,1465,0,3476,2099,1377,0,2761,1654,1107,0,1242,822,420,0,614,416,198,0,502,304,198,0,33,20,13,0
,,Michigan,7804,4563,3241,0,7232,4242,2990,0,5822,3423,2399,0,2548,1689,859,0,1425,947,478,0,1548,886,662,0,153,86,67,0
,,Minnesota,3396,1996,1400,0,3185,1870,1315,0,2866,1679,1187,0,1304,829,475,0,1383,849,534,0,686,403,283,0,86,52,34,0
,,Mississippi,2122,1240,882,0,1955,1134,821,0,1694,1006,688,0,720,479,241,0,395,258,137,0,313,197,116,0,63,36,27,0
,,Missouri,5445,3202,2243,0,4797,2835,1962,0,4569,2684,1885,0,1863,1247,616,0,1127,735,392,0,1214,742,472,0,102,59,43,0
,,Montana,676,396,280,0,643,377,266,0,554,326,228,0,294,201,93,0,171,115,56,0,103,58,45,0,11,8,3,0
,,Nebraska,1283,711,572,0,1200,671,529,0,1099,607,492,0,443,282,161,0,422,254,168,0,225,126,99,0,35,16,19,0
,,Nevada,1992,1138,854,0,1836,1040,796,0,1648,945,703,0,706,461,245,0,310,212,98,0,336,185,151,0,21,14,7,0
,,New Hampshire,793,460,333,0,745,435,310,0,605,356,249,0,270,173,97,0,157,99,58,0,135,67,68,0,3,3,0,0
,,New Jersey,5640,3249,2391,0,5231,3003,2228,0,4392,2525,1867,0,1803,1155,648,0,1096,684,412,0,780,447,333,0,43,23,20,0
,,New Mexico,1459,862,597,0,1363,805,558,0,1152,674,478,0,543,380,163,0,201,129,72,0,194,121,73,0,18,13,5,0
,,New York,11042,6390,4652,0,9458,5518,3940,0,8959,5134,3825,0,3344,2240,1104,0,1761,1120,641,0,1111,634,477,0,140,84,56,0
,,North Carolina,6264,3735,2529,0,5749,3411,2338,0,4985,2953,2032,0,2437,1661,776,0,1520,1006,514,0,1319,805,514,0,127,73,54,0
,,North Dakota,464,274,190,0,440,263,177,0,380,220,160,0,171,119,52,0,181,115,66,0,76,39,37,0,13,7,6,0
,,Ohio,8889,5239,3650,0,8211,4825,3386,0,7199,4272,2927,0,2999,1992,1007,0,2374,1543,831,0,1666,953,713,0,137,83,54,0
,,Oklahoma,3061,1824,1237,0,2836,1685,1151,0,2400,1414,986,0,1094,729,365,0,392,276,116,0,451,291,160,0,31,15,16,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oregon,2031,1196,835,0,1953,1150,803,0,1667,975,692,0,761,501,260,0,414,282,132,0,264,153,111,0,10,7,3,0
,,Pennsylvania,12791,7678,5113,0,11770,7031,4739,0,10447,6257,4190,0,4008,2724,1284,0,2689,1727,962,0,2259,1373,886,0,177,105,72,0
,,Puerto Rico,1879,1147,732,0,1635,996,639,0,1526,939,587,0,355,287,68,0,244,184,60,0,245,173,72,0,29,20,9,0
,,Rhode Island,502,296,206,0,468,275,193,0,356,210,146,0,178,112,66,0,102,63,39,0,58,27,31,0,4,3,1,0
,,South Carolina,3659,2200,1459,0,3404,2052,1352,0,3172,1902,1270,0,1413,1016,397,0,760,542,218,0,732,479,253,0,51,33,18,0
,,South Dakota,557,328,229,0,530,311,219,0,487,287,200,0,202,130,72,0,232,138,94,0,124,70,54,0,16,10,6,0
,,State unassigned,3170,1989,1181,0,2945,1853,1092,0,2310,1482,828,0,1273,933,340,0,636,456,180,0,449,296,153,0,25,10,15,0
,,Tennessee,5244,3069,2175,0,4765,2784,1981,0,4417,2567,1850,0,2090,1427,663,0,1155,766,389,0,970,586,384,0,129,70,59,0
,,Texas,17342,10402,6940,0,15560,9368,6192,0,13995,8413,5582,0,6829,4760,2069,0,2615,1826,789,0,3458,2122,1336,0,207,130,77,0
,,Utah,1727,1029,698,0,1613,967,646,0,1363,833,530,0,702,458,244,0,375,249,126,0,254,153,101,0,13,8,5,0
,,Vermont,398,230,168,0,381,218,163,0,316,185,131,0,138,89,49,0,85,55,30,0,61,35,26,0,3,1,2,0
,,Virginia,4974,2950,2024,0,4664,2766,1898,0,4058,2416,1642,0,1761,1192,569,0,915,610,305,0,912,551,361,0,75,38,37,0
,,Washington,3480,2078,1402,0,3325,1992,1333,0,2738,1641,1097,0,1214,805,409,0,723,474,249,0,595,340,255,0,26,13,13,0
,,West Virginia,1603,909,694,0,1483,840,643,0,1367,766,601,0,495,329,166,0,375,242,133,0,269,157,112,0,42,27,15,0
,,Wisconsin,5163,3157,2006,0,4813,2959,1854,0,4138,2512,1626,0,1715,1179,536,0,1890,1191,699,0,857,499,358,0,42,26,16,0
,,Wyoming,419,268,151,0,396,251,145,0,346,224,122,0,184,140,44,0,112,82,30,0,73,46,27,0,1,1,0,0
,< 1 Year,All Donor States of Residence,3384,1916,1468,0,1855,1084,771,0,2339,1314,1025,0,2336,1318,1018,0,426,242,184,0,156,97,59,0,682,375,307,0
,,Alabama,60,35,25,0,32,20,12,0,34,22,12,0,40,23,17,0,6,3,3,0,1,1,0,0,7,4,3,0
,,Alaska,8,2,6,0,7,2,5,0,6,2,4,0,3,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0
,,Arizona,52,31,21,0,39,22,17,0,32,19,13,0,33,19,14,0,3,3,0,0,4,2,2,0,4,3,1,0
,,Arkansas,42,26,16,0,20,14,6,0,31,20,11,0,32,19,13,0,10,5,5,0,0,0,0,0,12,8,4,0
,,California,334,182,152,0,202,113,89,0,216,117,99,0,241,122,119,0,19,9,10,0,12,8,4,0,34,18,16,0
,,Colorado,51,29,22,0,23,12,11,0,31,19,12,0,37,22,15,0,6,3,3,0,0,0,0,0,10,5,5,0
,,Connecticut,23,17,6,0,18,13,5,0,18,14,4,0,16,12,4,0,2,2,0,0,1,0,1,0,3,3,0,0
,,Delaware,8,4,4,0,5,2,3,0,7,4,3,0,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0
,,District of Columbia,8,5,3,0,6,4,2,0,8,5,3,0,6,3,3,0,1,1,0,0,1,1,0,0,1,1,0,0
,,Florida,224,128,96,0,98,59,39,0,170,97,73,0,149,79,70,0,54,35,19,0,12,4,8,0,67,40,27,0
,,Georgia,110,63,47,0,48,27,21,0,77,45,32,0,92,53,39,0,18,12,6,0,4,3,1,0,31,18,13,0
,,Hawaii,7,6,1,0,4,4,0,0,4,3,1,0,3,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0
,,Idaho,20,9,11,0,12,4,8,0,13,4,9,0,13,5,8,0,3,0,3,0,1,1,0,0,5,0,5,0
,,Illinois,170,100,70,0,91,59,32,0,116,70,46,0,104,58,46,0,14,11,3,0,10,7,3,0,29,16,13,0
,,Indiana,75,46,29,0,41,26,15,0,54,32,22,0,58,37,21,0,17,12,5,0,4,3,1,0,20,12,8,0
,,Iowa,30,19,11,0,17,11,6,0,23,13,10,0,22,13,9,0,6,2,4,0,1,1,0,0,10,4,6,0
,,Kansas,53,26,27,0,31,17,14,0,34,15,19,0,35,14,21,0,7,5,2,0,1,1,0,0,15,6,9,0
,,Kentucky,50,28,22,0,27,18,9,0,45,27,18,0,40,23,17,0,8,3,5,0,0,0,0,0,14,6,8,0
,,Louisiana,54,28,26,0,23,17,6,0,45,21,24,0,40,24,16,0,12,4,8,0,3,2,1,0,17,7,10,0
,,Maine,8,2,6,0,6,2,4,0,7,1,6,0,5,1,4,0,7,1,6,0,1,0,1,0,7,1,6,0
,,Maryland,54,31,23,0,40,25,15,0,40,20,20,0,33,20,13,0,10,5,5,0,3,2,1,0,11,5,6,0
,,Massachusetts,32,23,9,0,17,12,5,0,21,14,7,0,20,14,6,0,2,1,1,0,2,1,1,0,9,5,4,0
,,Michigan,109,58,51,0,59,32,27,0,72,35,37,0,79,43,36,0,16,11,5,0,4,3,1,0,29,16,13,0
,,Minnesota,59,34,25,0,26,16,10,0,41,25,16,0,42,26,16,0,7,3,4,0,4,2,2,0,10,4,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mississippi,43,23,20,0,22,8,14,0,32,15,17,0,26,17,9,0,10,6,4,0,3,3,0,0,13,9,4,0
,,Missouri,80,40,40,0,39,17,22,0,51,25,26,0,53,25,28,0,12,5,7,0,6,4,2,0,20,11,9,0
,,Montana,14,11,3,0,7,4,3,0,11,8,3,0,12,11,1,0,2,1,1,0,0,0,0,0,4,3,1,0
,,Nebraska,24,11,13,0,8,5,3,0,19,8,11,0,13,7,6,0,4,2,2,0,2,2,0,0,7,2,5,0
,,Nevada,35,17,18,0,31,15,16,0,21,11,10,0,24,12,12,0,2,1,1,0,0,0,0,0,4,3,1,0
,,New Hampshire,5,1,4,0,3,1,2,0,5,1,4,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
,,New Jersey,69,33,36,0,44,16,28,0,43,23,20,0,47,23,24,0,6,2,4,0,5,4,1,0,11,7,4,0
,,New Mexico,26,17,9,0,13,10,3,0,21,12,9,0,19,12,7,0,3,1,2,0,1,0,1,0,3,2,1,0
,,New York,137,80,57,0,71,41,30,0,95,54,41,0,96,50,46,0,19,13,6,0,7,5,2,0,34,21,13,0
,,North Carolina,125,77,48,0,61,39,22,0,94,59,35,0,87,53,34,0,14,9,5,0,7,4,3,0,33,20,13,0
,,North Dakota,5,2,3,0,3,2,1,0,3,2,1,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Ohio,110,60,50,0,58,36,22,0,76,43,33,0,78,44,34,0,14,7,7,0,8,5,3,0,21,12,9,0
,,Oklahoma,42,24,18,0,28,15,13,0,28,15,13,0,29,15,14,0,3,1,2,0,1,0,1,0,7,2,5,0
,,Oregon,31,17,14,0,16,10,6,0,18,9,9,0,22,11,11,0,2,1,1,0,1,1,0,0,3,2,1,0
,,Pennsylvania,155,96,59,0,92,56,36,0,100,60,40,0,93,58,35,0,15,7,8,0,11,6,5,0,25,12,13,0
,,Puerto Rico,9,6,3,0,7,5,2,0,7,4,3,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Rhode Island,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,South Carolina,34,16,18,0,20,12,8,0,28,12,16,0,28,14,14,0,11,7,4,0,1,1,0,0,16,9,7,0
,,South Dakota,5,2,3,0,2,1,1,0,1,1,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,State unassigned,42,19,23,0,17,10,7,0,27,16,11,0,26,11,15,0,1,1,0,0,0,0,0,0,3,1,2,0
,,Tennessee,102,54,48,0,57,31,26,0,75,36,39,0,80,42,38,0,16,5,11,0,6,1,5,0,26,9,17,0
,,Texas,343,207,136,0,187,114,73,0,242,146,96,0,228,148,80,0,29,21,8,0,15,10,5,0,57,39,18,0
,,Utah,56,34,22,0,45,28,17,0,29,17,12,0,35,23,12,0,3,2,1,0,1,1,0,0,5,3,2,0
,,Vermont,4,3,1,0,2,1,1,0,4,3,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Virginia,81,42,39,0,48,28,20,0,56,28,28,0,59,30,29,0,10,6,4,0,6,3,3,0,15,9,6,0
,,Washington,63,27,36,0,36,19,17,0,37,17,20,0,40,18,22,0,5,2,3,0,1,1,0,0,8,3,5,0
,,West Virginia,17,8,9,0,11,5,6,0,16,7,9,0,13,5,8,0,6,3,3,0,3,3,0,0,7,3,4,0
,,Wisconsin,75,51,24,0,31,21,10,0,51,36,15,0,53,36,17,0,8,5,3,0,1,0,1,0,12,8,4,0
